[Fri Jun  5 12:31:08.000 2009] 0.001 sec [scan/2/rel 3 (0,20)] [*] 
[Fri Jun  5 12:31:23.369 2009] 0.001 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 12:32:55.137 2009] 0.001 sec [all/2/rel 0 (0,20)] [*] 3
[Fri Jun  5 12:33:01.382 2009] 0.000 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 12:33:06.186 2009] 0.001 sec [all/2/rel 2 (0,20)] [*] chyba3
[Fri Jun  5 12:33:18.475 2009] 0.001 sec [scan/2/rel 3 (0,20)] [*] 
[Fri Jun  5 12:33:56.904 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] dzia
[Fri Jun  5 12:34:10.085 2009] 0.000 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 12:34:25.843 2009] 0.001 sec [all/2/rel 2 (0,20)] [*] chyba3
[Fri Jun  5 12:40:49.396 2009] 0.000 sec [scan/2/rel 3 (0,20)] [*] 
[Fri Jun  5 12:40:56.236 2009] 0.001 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 12:41:02.996 2009] 0.000 sec [all/2/rel 2 (0,20)] [*] chyba3
[Fri Jun  5 12:41:06.948 2009] 0.000 sec [all/2/rel 1 (0,20)] [*] chyba
[Fri Jun  5 12:41:58.010 2009] 0.000 sec [scan/2/rel 3 (0,20)] [*] 
[Fri Jun  5 12:42:01.648 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] dziala3
[Fri Jun  5 12:42:09.479 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] dziala3
[Fri Jun  5 12:42:12.273 2009] 0.001 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 12:42:19.622 2009] 0.001 sec [all/2/rel 1 (0,20)] [*] chyba
[Fri Jun  5 12:46:57.396 2009] 0.001 sec [all/2/rel 0 (0,20)] [*] cx
[Fri Jun  5 12:47:01.256 2009] 0.001 sec [all/2/rel 3 (0,20)] [*] dziala
[Fri Jun  5 13:35:56.451 2009] 0.000 sec [all/2/rel 3 (0,20)] [*] dziala
